City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Cockburn Town,TC,82.8,clear sky,21.4612,-71.1419,Osprey Beach Hotel
627,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
628,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
629,Tura,IN,78.66,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
646,Bentong,MY,89.44,overcast clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
648,Grand Island,US,75.49,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
649,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
650,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
651,Mancio Lima,BR,75.27,few clouds,-7.6142,-72.8958,Motel Asas Do Desejo
657,Mayo,US,75.18,clear sky,38.8876,-76.5119,Resorts Resource Group International
661,General Teran,MX,80.89,overcast clouds,25.2667,-99.6833,OYO Hotel Garate
672,Buloh Kasap,MY,87.67,scattered clouds,2.5536,102.764,Teratak Ixora Segamat
676,Kutum,SD,75.65,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
678,Lethem,GY,75.94,heavy intensity rain,3.3803,-59.7968,Savannah Inn
679,Binay,PH,86.16,light rain,13.5028,122.5975,Wild Boar Accomdation
683,Canas,CR,79.59,overcast clouds,10.4294,-85.0931,HOTEL CAPAZURI
684,Davila,PH,82.38,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
691,Karratha,AU,75.4,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
694,Parnarama,BR,80.47,broken clouds,-5.6817,-43.0933,Hotel São Luiz
695,Wilmington,US,77.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
701,Rajapur,IN,89.44,broken clouds,25.3833,81.15,Sahu Ji Galla Mills
704,Tamalameque,CO,75.56,overcast clouds,8.8522,-73.8123,Casa Tía Icha
710,Nanakuli,US,85.95,clear sky,21.3906,-158.1547,Camp Pālehua
711,Ismailia,EG,75.02,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
712,Robat Karim,IR,82.26,clear sky,35.4846,51.0829,خانه معلم رباط کریم - مرکز رفاهی خجسته کیا
713,Kochi,IN,82.38,clear sky,9.9399,76.2602,Trident Hotel Cochin
717,Champerico,GT,77.9,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
